Country,Latitude,Longitude
France,46.603354,1.888334
Russia,61.52401,105.318756
Japan,36.204824,138.252924
Mexico,23.634501,-102.552784
Chile,-35.675147,-71.542969
Belgium,50.503887,4.469936
Australia,-25.274398,133.775136
Germany,51.165691,10.451526
Sweden,60.128161,18.643501
South Africa,-30.559482,22.937506
Croatia,45.1,15.2
Israel,31.046051,34.851612
Ireland,53.41291,-8.24389
United States,37.09024,-95.712891
Canada,56.130366,-106.346771
China,35.86166,104.195397
Brazil,-14.235004,-51.92528
India,20.593684,78.96288
Italy,41.87194,12.56738
Netherlands,52.132633,5.291266
Singapore,1.352083,103.819836
Norway,60.472024,8.468946
United Kingdom,55.378051,-3.435973
Spain,40.463667,-3.74922
Turkey,38.963745,35.243322
Denmark,56.26392,9.501785
New Zealand,-40.900557,174.885971
Finland,61.92411,25.748151
Switzerland,46.818188,8.227512
Greece,39.074208,21.824312
South Korea,35.907757,127.766922
Saudi Arabia,23.885942,45.079162
